intg_id,intg_cat1,intg_cat2,intg_cat3,intg_cat4
C01_CLTH_001,의류,여성의류,티셔츠,솔리드/무지
C01_CLTH_002,의류,여성의류,티셔츠,패턴/체크/스트라이프
C01_CLTH_003,의류,여성의류,티셔츠,탑/민소매
C01_CLTH_004,의류,여성의류,티셔츠,루즈핏/박스/롱
C01_CLTH_005,의류,여성의류,티셔츠,기타티셔츠
C01_CLTH_006,의류,여성의류,블라우스/셔츠,기본/솔리드/무지
C01_CLTH_007,의류,여성의류,블라우스/셔츠,패턴/체크/스트라이프
C01_CLTH_008,의류,여성의류,블라우스/셔츠,탑/민소매/오프숄더
C01_CLTH_009,의류,여성의류,블라우스/셔츠,루즈핏/롱
C01_CLTH_010,의류,여성의류,블라우스/셔츠,쉬폰/레이스/실크
C01_CLTH_011,의류,여성의류,블라우스/셔츠,기타블라우스/셔츠
C01_CLTH_012,의류,여성의류,니트/스웨터/가디건,기본니트/스웨터
C01_CLTH_013,의류,여성의류,니트/스웨터/가디건,기본가디건/베스트
C01_CLTH_014,의류,여성의류,니트/스웨터/가디건,루즈핏/롱
C01_CLTH_015,의류,여성의류,니트/스웨터/가디건,카라/폴라/터틀넥
C01_CLTH_016,의류,여성의류,니트/스웨터/가디건,기타니트/스웨터/가디건
C01_CLTH_017,의류,여성의류,원피스,기본/정장
C01_CLTH_018,의류,여성의류,원피스,민소매/반팔/미니
C01_CLTH_019,의류,여성의류,원피스,쉬폰/레이스
C01_CLTH_020,의류,여성의류,원피스,니트/모직/트위드
C01_CLTH_021,의류,여성의류,원피스,기타원피스
C01_CLTH_022,의류,여성의류,스커트,기본/정장
C01_CLTH_023,의류,여성의류,스커트,H라인
C01_CLTH_024,의류,여성의류,스커트,A라인/플레어
C01_CLTH_025,의류,여성의류,스커트,미디/미니
C01_CLTH_026,의류,여성의류,스커트,기타스커트
C01_CLTH_027,의류,여성의류,팬츠,기본/정장/슬랙스
C01_CLTH_028,의류,여성의류,팬츠,반바지
C01_CLTH_029,의류,여성의류,팬츠,스키니/레깅스/제깅스
C01_CLTH_030,의류,여성의류,팬츠,청/데님
C01_CLTH_031,의류,여성의류,팬츠,면/폴리
C01_CLTH_032,의류,여성의류,팬츠,기타팬츠
C01_CLTH_033,의류,여성의류,코트,트렌치
C01_CLTH_034,의류,여성의류,코트,롱
C01_CLTH_035,의류,여성의류,코트,하프/숏/피
C01_CLTH_036,의류,여성의류,코트,패딩/다운/퍼
C01_CLTH_037,의류,여성의류,코트,울/캐시미어
C01_CLTH_038,의류,여성의류,코트,가죽/모피
C01_CLTH_039,의류,여성의류,코트,기타코트
C01_CLTH_040,의류,여성의류,재킷/점퍼,기본/정장
C01_CLTH_041,의류,여성의류,재킷/점퍼,캐주얼/후드/집업
C01_CLTH_042,의류,여성의류,재킷/점퍼,야상/사파리/항공
C01_CLTH_043,의류,여성의류,재킷/점퍼,패딩/다운
C01_CLTH_044,의류,여성의류,재킷/점퍼,청/데님
C01_CLTH_045,의류,여성의류,재킷/점퍼,가죽/라이더
C01_CLTH_046,의류,여성의류,재킷/점퍼,기타재킷/점퍼
C01_CLTH_047,의류,여성의류,테마의류,정장/드레스세트
C01_CLTH_048,의류,여성의류,테마의류,트레이닝/기타
C01_CLTH_049,의류,남성의류,티셔츠,긴팔
C01_CLTH_050,의류,남성의류,티셔츠,반팔/민소매
C01_CLTH_051,의류,남성의류,티셔츠,루즈핏/박스/롱
C01_CLTH_052,의류,남성의류,티셔츠,피케/카라
C01_CLTH_053,의류,남성의류,티셔츠,맨투맨/후드
C01_CLTH_054,의류,남성의류,티셔츠,기타티셔츠
C01_CLTH_055,의류,남성의류,셔츠/남방,기본/솔리드/무지
C01_CLTH_056,의류,남성의류,셔츠/남방,패턴/체크/스트라이프
C01_CLTH_057,의류,남성의류,셔츠/남방,정장/드레스
